Sr_No,Hospital_Name,Hospital_Category,Hospital_Care_Type,Discipline_Systems_of_Medicine,Address_Original_First_Line,Location,State,District,Subdistrict,Pincode,Telephone,Mobile_Number,Emergency_Num,Ambulance_Phone_No,Website,Specialties,Facilities,Establised_Year,Emergency_Services,latitude,longitude,total_beds,position_group
6123,Bopal Multispeciality Hospital,Private,Hospital,Allopathic,"17-18, Abhinandan Complex, Opposite Inductotherm Factory, Bopal","17-18, Abhinandan Complex, Opposite Inductotherm Factory, Bopal",Gujarat,Ahmedabad,Bopal,380058,,,,,http://www.rsby.gov.in/Districtwise.aspx,,,,,23.2599333,77.412615,,"23.26, 77.413"
6124,CHC Barvada,Public/ Government,Community Health Centre,Allopathic,"Referral Hospital/Samuhik Aarogya Kendra, Barvada","Referral Hospital/Samuhik Aarogya Kendra, Barvada",Gujarat,Ahmedabad,,382450,,,,,http://www.rsby.gov.in/Districtwise.aspx,,,,,,,,
6125,CHC Bavla,Public/ Government,Community Health Centre,Allopathic,"Referral Hospital/Samuhik Aarogya Kendra, Bavla","Referral Hospital/Samuhik Aarogya Kendra, Bavla",Gujarat,Ahmedabad,,,,,,,http://www.rsby.gov.in/Districtwise.aspx,,,,,,,,
6126,CHC Chandkheda,Public/ Government,Community Health Centre,Allopathic,"Nr.Manikrupa School, I.O.C.Road, Chadkheda","Nr.Manikrupa School, I.O.C.Road, Chadkheda",Gujarat,Ahmedabad,,,,,,,http://www.rsby.gov.in/Districtwise.aspx,,,,,23.1126977,72.5759444,,"23.113, 72.576"
6127,CHC Detroj,Public/ Government,Community Health Centre,Allopathic,At Po.Detroj,At Po.Detroj,Gujarat,Ahmedabad,,,,,,,http://www.rsby.gov.in/Districtwise.aspx,,,,,23.3333915,72.1875193,,"23.333, 72.188"
6128,CHC Dhandhuka,Public/ Government,Community Health Centre,Allopathic,"Referral Hospital/Samuhik Aarogya Kendra, Dhandhuka","Referral Hospital/Samuhik Aarogya Kendra, Dhandhuka",Gujarat,Ahmedabad,,,,,,,http://www.rsby.gov.in/Districtwise.aspx,,,,,,,,
6129,CHC Dholka,Public/ Government,Community Health Centre,Allopathic,"Opposite Minaben Tower, Dholka","Opposite Minaben Tower, Dholka, Ahmedabad",Gujarat,Ahmedabad,,,,,,,http://www.rsby.gov.in/Districtwise.aspx,,,,,22.7428431,72.4435674,,"22.743, 72.444"
6130,CHC Mandal,Public/ Government,Community Health Centre,Allopathic,"Referral Hospital/Samuhik Aarogya Kendra, Mandal","Referral Hospital/Samuhik Aarogya Kendra, Mandal",Gujarat,Ahmedabad,,,,,,,http://www.rsby.gov.in/Districtwise.aspx,,,,,,,,
6131,CHC Ranpur,Public/ Government,Community Health Centre,Allopathic,"Referral Hospital/Samuhik Aarogya Kendra, Bavla","Referral Hospital/Samuhik Aarogya Kendra, Bavla",Gujarat,Ahmedabad,,,,,,,http://www.rsby.gov.in/Districtwise.aspx,,,,,,,,
6132,CHC Sanand,Public/ Government,Community Health Centre,Allopathic,"Referral Hospital/Samuhik Aarogya Kendra, Singarva","Referral Hospital/Samuhik Aarogya Kendra, Singarva, Ahmedabad",Gujarat,Ahmedabad,,,,,,,http://www.rsby.gov.in/Districtwise.aspx,,,,,23.0247726,72.6970077,,"23.025, 72.697"
6133,CHC Sarkhej,Public/ Government,Community Health Centre,Allopathic,"Opp ITI, Sarkhej Gam, Sarkhej","Opp ITI, Sarkhej Gam, Sarkhej",Gujarat,Ahmedabad,,,,,,,http://www.rsby.gov.in/Districtwise.aspx,,,,,22.9761405,72.5022216,,"22.976, 72.502"
6134,CHC Singarva,Public/ Government,Community Health Centre,Allopathic,"Referral Hospital/Samuhik Aarogya Kendra, Singarva","Referral Hospital/Samuhik Aarogya Kendra, Singarva",Gujarat,Ahmedabad,,,,,,,http://www.rsby.gov.in/Districtwise.aspx,,,,,23.0247726,72.6970077,,"23.025, 72.697"
6135,CHC Viramgam,Public/ Government,Community Health Centre,Allopathic,"Referral Hospital/Samuhik Aarogya Kendra, Viramgam","Referral Hospital/Samuhik Aarogya Kendra, Viramgam",Gujarat,Ahmedabad,,,,,,,http://www.rsby.gov.in/Districtwise.aspx,,,,,23.1236377,72.0527421,,"23.124, 72.053"
6136,Akshar Hospital and Icu,,,,Opp Dr Udani Hospitalmahuva Road At-Savarkundala,Opp Dr Udani Hospitalmahuva Road At-Savarkundala,Gujarat,Amreli,,364515,,,,,,,,,,,,,
6137,Dr Mahendra D Shaniswaras Medical Nursing Home,,,,Opp Dr Udani Hospitalmahuva Road At-Savarkundala,Opp Dr Udani Hospitalmahuva Road At-Savarkundala,Gujarat,Amreli,,364515,,,,,,,,,,,,,
6138,Raythatha Surgical Hospital,,,,Mahuva Road At Savarkundla,Mahuva Road At Savarkundla,Gujarat,Amreli,,364515,,,,,,,,,,,,,
6139,Shivam Orthopaedic and Gynec Hospital,,,,Doctor House Ramdarshan Complex Opp K.K Hospital At-Savarkundla,Doctor House Ramdarshan Complex Opp K.K Hospital At-Savarkundla,Gujarat,Amreli,,364515,,,,,,,,,,,,,
6140,Shradhha Hospital,,,,Khadkala P.O.,Khadkala P.O.,Gujarat,Amreli,,364521,,,,,,,,,,21.6031774,71.2220832,,"21.603, 71.222"
6141,Harikrishna Childran Hospital,,,,"1St Floor,Liliya Road","1St Floor,Liliya Road",Gujarat,Amreli,,365440,,,,,,,,,,21.5965827,71.2233524,,"21.597, 71.223"
6142,Ishvaram Surgical Hospital,,,,"Hospital Road,Bagasara","Hospital Road,Bagasara",Gujarat,Amreli,,365440,,,,,,,,,,21.4884946,70.9517078,,"21.488, 70.952"
6143,S G Kamaliya Mamorial Hospital,,,,"Hospital Road,Bagasara","Hospital Road,Bagasara",Gujarat,Amreli,,365440,,,,,,,,,,21.4884946,70.9517078,,"21.488, 70.952"
6144,Sujal Hospital and Icu,,,,"1St Floor,Tulshi Complex,Near Taluka School, Bagasara","1St Floor,Tulshi Complex,Near Taluka School, Bagasara",Gujarat,Amreli,,365440,,,,,,,,,,21.4884946,70.9517078,,"21.488, 70.952"
6145,Badhiya Dental Clinic,,,,White House Second Floor Opposite S.T. Depot,White House Second Floor Opposite S.T. Depot,Gujarat,Amreli,,365601,,,,,,,,,,,,,
6146,Dave Orthopaedic Hospital,,,,"Opposite S. T. Bus Depot, Nr. Dr. Patoliya Hospital","Opposite S. T. Bus Depot, Nr. Dr. Patoliya Hospital",Gujarat,Amreli,,365601,,,,,,,,,,,,,
6147,Doctor House,,,,"College Road,Behind Civil Hospital","College Road,Behind Civil Hospital",Gujarat,Amreli,,365601,,,,,,,,,,,,,
6148,Dr. Patolia Surgical and Maternity Hospital,,,,Opposite S.T. Depot,Opposite S.T. Depot,Gujarat,Amreli,,365601,,,,,,,,,,21.6031774,71.2220832,,"21.603, 71.222"
6149,Dr. Pradeep B. Patel,,,,,,Gujarat,Amreli,,365601,,,,,,,,,,21.6031774,71.2220832,,"21.603, 71.222"
6150,Dr. R. D. Ghodasara Hospital,,,,"Doctor House, College Road","Doctor House, College Road",Gujarat,Amreli,,365601,,,,,,,,,,28.6264203,77.2386743,,"28.626, 77.239"
6151,Jivandhara Hospital,,,,Opposite St Depot,Opposite St Depot,Gujarat,Amreli,,365601,,,,,,,,,,21.6031774,71.2220832,,"21.603, 71.222"
6152,Kanabar Surgical Hospital and Maternity Home,,,,"""Ishavasyam"" Nr. S.T. Depot","""Ishavasyam"" Nr. S.T. Depot",Gujarat,Amreli,,365601,,,,,,,,,,,,,
6153,Madhav Orthopaedic Hospital,,,,Liliya Road,Liliya Road,Gujarat,Amreli,,365601,,,,,,,,,,21.5965827,71.2233524,,"21.597, 71.223"
6154,Madhvan Surgical Hospital and Prasutigruh,,,,Nr - Krishna Petrol Pump Manekpara Station Road,Nr - Krishna Petrol Pump Manekpara Station Road,Gujarat,Amreli,,365601,,,,,,,,,,,,,
6155,Netra Chikitsa Trust,,,,(Radhika General Hospital) Chittal Road,(Radhika General Hospital) Chittal Road,Gujarat,Amreli,,365601,,,,,,,,,,,,,
6156,Om Ent Hospital,,,,Sanjivani Complexstation Road,Sanjivani Complexstation Road,Gujarat,Amreli,,365601,,,,,,,,,,18.6536683,73.8101792,,"18.654, 73.81"
6157,Om Sanjivni Surgical Hospital,,,,White House Second Floor Opposite S.T. Depot,White House Second Floor Opposite S.T. Depot,Gujarat,Amreli,,365601,,,,,,,,,,,,,
6158,Ramanuj Surgical Hospital,,,,Opera House Opp - Krishna Petrol Pump Station Road,Opera House Opp - Krishna Petrol Pump Station Road,Gujarat,Amreli,,365601,,,,,,,,,,,,,
6159,Satellite Orthopaedic Hospital and Research Centre,,,,Chital Road,Chital Road,Gujarat,Amreli,,365601,,,,,,,,,,21.6129178,71.2142689,,"21.613, 71.214"
6160,Shree Ragvendra Multispeciality Hospital,,,,"Keriya Road,Near Railway Crossing","Keriya Road,Near Railway Crossing",Gujarat,Amreli,,365601,,,,,,,,,,,,,
6161,Shubham Hospital,,,,Opp - St Station Nr - Atul Book Store,Opp - St Station Nr - Atul Book Store,Gujarat,Amreli,,365601,,,,,,,,,,,,,
6162,Sojitra Surgical Hospita and Prasuti Gruh,,,,Manekpara,Manekpara,Gujarat,Amreli,,365601,,,,,,,,,,21.5995095,71.2213406,,"21.6, 71.221"
6163,Sudershan Netralaya,,,,"Bhagvati Chowk, Manekpara","Bhagvati Chowk, Manekpara",Gujarat,Amreli,,365601,,,,,,,,,,,,,
6164,Vaghasia Orthopaedic Hospital,,,,Near S T Bus Depotb/H Brahmin Boarding,Near S T Bus Depotb/H Brahmin Boarding,Gujarat,Amreli,,365601,,,,,,,,,,,,,
6165,M.N.G. Eye Hospital Pujya Shree Dan Maharajni Jagya Organised,,,,At - Chalala Ta - Dhari,At - Chalala Ta - Dhari,Gujarat,Amreli,,365630,,,,,,,,,,,,,
6166,"Centre For Sight, Anand",Private,Hospital,Allopathic,"Ground Floor 1 and 2, Maruti Saday, Near Indira Gandhi Statue, Lambhvel Road","Ground Floor 1 and 2,\nMaruti Saday, Near Indira Gandhi Statue,\nLambhvel Road, Anand",Gujarat,Anand,,388001,,,,,http://www.centreforsight.net/,Eye Care,,,,,,,
6167,Pramukhswami Medical College,Public/ Government,Hospital,Allopathic,"Charutar Arogya Mandal, Gokalnagar, P.O.Karmsad Karamsad","Charutar Arogya Mandal, Gokalnagar, P.O.Karmsad Karamsad",Gujarat,Anand,,388325,,,,,http://www.charutarhealth.org/institute/about/pramukhswami-medical-college,,,,,22.5429215,72.9017603,,"22.543, 72.902"
6168,C. C. Patel Sarvajanik Hospital,,,,Sojitra,Sojitra,Gujarat,Anand,,387240,,,,,,,,,,22.5388801,72.7200608,,"22.539, 72.72"
6169,CHC -Sojitra,,,,Sojitra,Sojitra,Gujarat,Anand,,387240,,,,,,,,,,22.5388801,72.7200608,,"22.539, 72.72"
6170,The Healthy Ways,,,,"Changa Malataj Road, Tal. Sojitra, rict","Changa Malataj Road, Tal. Sojitra, rict",Gujarat,Anand,,387240,,,,,,,,,,,,,
6171,Aagam Hospital,,,,"Opposite Arya Samaj Shopping Centre, Ishwar Petlikar Marg","Opposite Arya Samaj Shopping Centre, Ishwar Petlikar Marg",Gujarat,Anand,,388001,,,,,,,,,,,,,
6172,Adarsh Hospital,,,,"Rajdeep Complex, Bhalej Road","Rajdeep Complex, Bhalej Road",Gujarat,Anand,,388001,,,,,,,,,,,,,
6173,Akshaydeep Hospital and Maternity Home,,,,"Dr. Cook Road, Opposite Old D. S. P. Office, Nr. Shastri Baug","Dr. Cook Road, Opposite Old D. S. P. Office, Nr. Shastri Baug",Gujarat,Anand,,388001,,,,,,,,,,,,,
6174,Amardeep Eye Hospital,,,,"Mahavir Chowk, Nr. Sanjivani Hospital, Vadodara","Mahavir Chowk, Nr. Sanjivani Hospital, Vadodara",Gujarat,Anand,,388001,,,,,,,,,,22.3071588,73.1812187,,"22.307, 73.181"
6175,Amardeep Maternity Nursing Home,,,,"Mahavir Chowk, Nr Sanjivani Hospital, Mahvir Marg","Mahavir Chowk, Nr Sanjivani Hospital, Mahvir Marg",Gujarat,Anand,,388001,,,,,,,,,,,,,
6176,Amit Hospital,,,,"Near Overbridge,Indira Gandhi Marg,Opposite Police Station","Near Overbridge,Indira Gandhi Marg,Opposite Police Station",Gujarat,Anand,,388001,,,,,,,,,,,,,
6177,Anand Orthopaedic Hospital,,,,"Near Over Brigde, Bhalej Road, Beside Shah Petrol Pump","Near Over Brigde, Bhalej Road, Beside Shah Petrol Pump",Gujarat,Anand,,388001,,,,,,,,,,,,,
6178,Anuj Clinic,,,,"K.D.C.C. Bank Building, Station Road","K.D.C.C. Bank Building, Station Road",Gujarat,Anand,,388001,,,,,,,,,,,,,
6179,Apara Nursing Home,,,,Shubhlaxmi Shopping Centre Near Old Petrol Pump,Shubhlaxmi Shopping Centre Near Old Petrol Pump,Gujarat,Anand,,388001,,,,,,,,,,,,,
6180,Arpan Hospital Heart Care Centte Icu,,,,Near Charotar Bank Subhash Road,Near Charotar Bank Subhash Road,Gujarat,Anand,,388001,,,,,,,,,,,,,
6181,Arpita Nursing Home,,,,Station Road,Station Road,Gujarat,Anand,,388001,,,,,,,,,,22.5485948,72.9290413,,"22.549, 72.929"
6182,Ashwini Medical Centre,,,,"Nr. Community Hall, Off Bhalej Road,Anand, Vadodara","Nr. Community Hall, Off Bhalej Road,Anand, Vadodara",Gujarat,Anand,,388001,,,,,,,,,,22.3071588,73.1812187,,"22.307, 73.181"
6183,Astha Surgical Hospital,,,,"Opposite Old D.S.P. Office, Dr. Cook Road","Opposite Old D.S.P. Office, Dr. Cook Road",Gujarat,Anand,,388001,,,,,,,,,,,,,
6184,Aum Hospital and I C U - Anand,,,,"Near Pioneer High School,Opposite Pappu Centre, Vendor Crossing ,Maharshi Dayanand Marg","Near Pioneer High School,Opposite Pappu Centre, Vendor Crossing,Maharshi Dayanand Marg",Gujarat,Anand,,388001,,,,,,,,,,,,,
6185,B N Patel Institute Of Paramedical And Science,,,,Bhalej Road,Bhalej Road,Gujarat,Anand,,388001,,,,,,,,,,22.5662211,72.9619717,,"22.566, 72.962"
6186,Chandan Hospital,,,,"OppositeArya Samaj Shopping Centre,Ishwwar Petlikar Marg","OppositeArya Samaj Shopping Centre,Ishwwar Petlikar Marg",Gujarat,Anand,,388001,,,,,,,,,,,,,
6187,"Charutar Burns, Plastic Surgery and Eye Hospital",,,,"Jain Society, Opposite Shah Petrol Pump, Bhlej Road","Jain Society, Opposite Shah Petrol Pump, Bhlej Road",Gujarat,Anand,,388001,,,,,,,,,,,,,
6188,Chetana Hospital,,,,Krishna Road,Krishna Road,Gujarat,Anand,,388001,,,,,,,,,,,,,
6189,Chirag Hospital,,,,"First Floor, Shubhlaxmi Shopping Centre, Station Road","First Floor, Shubhlaxmi Shopping Centre, Station Road",Gujarat,Anand,,388001,,,,,,,,,,,,,
6190,Dattu Hospital,,,,Mahavir Marg,Mahavir Marg,Gujarat,Anand,,388001,,,,,,,,,,22.5612734,72.9618316,,"22.561, 72.962"
6191,Deep Hospital,,,,Bhalej Road,Bhalej Road,Gujarat,Anand,,388001,,,,,,,,,,22.5662211,72.9619717,,"22.566, 72.962"
6192,Dr. Dhruvpal Sisodia Ortho and Eye Care Hospital,,,,"Nr. Shtanakvasi Jain Upashray, Mahavir Chowk","Nr. Shtanakvasi Jain Upashray, Mahavir Chowk",Gujarat,Anand,,388001,,,,,,,,,,,,,
6193,Dr. Mahendra Shahs Hospital,,,,"Opposite C P College, Bhalej Road","Opposite C P College, Bhalej Road",Gujarat,Anand,,388001,,,,,,,,,,,,,
6194,Eisha Ent Surgical Hospital and Laser Centre,,,,"Shubhlaxmi Shopping Centre, Station Road","Shubhlaxmi Shopping Centre, Station Road",Gujarat,Anand,,388001,,,,,,,,,,,,,
6195,Garima Maternity Home and Children Hospital,,,,"2Nd Floor, Above Dr. Mannari`S Hospital,B /H. Punjab Bank,Naya Padkar Lane","2Nd Floor, Above Dr. Mannari`S Hospital,B /H. Punjab Bank,Naya Padkar Lane",Gujarat,Anand,,388001,,,,,,,,,,,,,
6196,Gauri Nursing Home and Maternity Hospital,,,,Mahavir Marg,Mahavir Marg,Gujarat,Anand,,388001,,,,,,,,,,22.5612734,72.9618316,,"22.561, 72.962"
6197,Gokul Children Hospital,,,,"Ishwar Patlikar Road, B/H. Kasturba Kanya Vidyalay,Gopal Talkies Crossing","Ishwar Patlikar Road, B/H. Kasturba Kanya Vidyalay,Gopal Talkies Crossing",Gujarat,Anand,,388001,,,,,,,,,,,,,
6198,Jayna Womens Hospital and Advanced Endoscopic Surge,,,,"Parimal Society, Bhalej Road,Anand","Parimal Society, Bhalej Road,Anand",Gujarat,Anand,,388001,,,,,,,,,,,,,
6199,Jethwa Eye Hospital and Laser Centre and Laser Centre,,,,"C. K. House, Near Gpo, J. P. Road","C. K. House, Near Gpo, J. P. Road",Gujarat,Anand,,388001,,,,,,,,,,,,,
6200,Jiwandeep Hospital,,,,"Station Road, Vadodara","Station Road, Vadodara",Gujarat,Anand,,388001,,,,,,,,,,22.2376649,73.0884867,,"22.238, 73.088"
6201,Kaival Hospital,,,,Station Road,Station Road,Gujarat,Anand,,388001,,,,,,,,,,22.5485948,72.9290413,,"22.549, 72.929"
6202,Khushboo Ent Surgical Hospital,,,,"Commerce Centre, Opposite Bavaji Nivas, Gopal Talkies Cross Road, Station Road","Commerce Centre, Opposite Bavaji Nivas, Gopal Talkies Cross Road, Station Road",Gujarat,Anand,,388001,,,,,,,,,,,,,
6203,Kiran Eye Clinic,,,,"310, Sanket Complex, Above Hdfc Bank, Near Grid","310, Sanket Complex, Above Hdfc Bank, Near Grid",Gujarat,Anand,,388001,,,,,,,,,,,,,
6204,Mahavir Clinic and Nursing Home,,,,"1,Nandini Society,Near Sanjay Park Flat-D Cabin","1,Nandini Society,Near Sanjay Park Flat-D Cabin",Gujarat,Anand,,388001,,,,,,,,,,,,,
6205,Mahavir Eye Hospital ( Phaco and Laser Centre ),,,,"1St Floor, Nariman Complex, Opp- Laxmi Talkies, Juna Rasta","1St Floor, Nariman Complex, Opp- Laxmi Talkies, Juna Rasta",Gujarat,Anand,,388001,,,,,,,,,,,,,
6206,Manan Hospital,,,,"Nr Yogi Petrol Pump, Bhalej Road","Nr Yogi Petrol Pump, Bhalej Road",Gujarat,Anand,,388001,,,,,,,,,,,,,
6207,Mangalya Eye Hospital,,,,"Ajanta House, Mayfair Road","Ajanta House, Mayfair Road",Gujarat,Anand,,388001,,,,,,,,,,,,,
6208,Meera Surgical Hospital,,,,"Nr. Vendor Cross Road, Opposite Swastik Society","Nr. Vendor Cross Road, Opposite Swastik Society",Gujarat,Anand,,388001,,,,,,,,,,,,,
6209,Mihir Hospital,,,,"Subhlaxmi Shopping Centre, Station Road","Subhlaxmi Shopping Centre, Station Road",Gujarat,Anand,,388001,,,,,,,,,,,,,
6210,Morlee Medical Hospital,,,,"Morlee Point,1St Floor Bavaji Niwas OppositeGaopal Tal;Kies Station Roade","Morlee Point,1St Floor Bavaji Niwas OppositeGaopal Tal;Kies Station Roade,Anand",Gujarat,Anand,,388001,,,,,,,,,,,,,
6211,Navin Maternity and Surgical Nursing Home,,,,Near Laxmi Cinema,"Near Laxmi Cinema,Anand",Gujarat,Anand,,388001,,,,,,,,,,20.7681448,72.9730662,,"20.768, 72.973"
6212,Navjivan Orthopaedic Hospital,,,,"Opp Yogi Petrol Pump, Bhalej Road","Opp Yogi Petrol Pump, Bhalej Road",Gujarat,Anand,,388001,,,,,,,,,,,,,
6213,Navjyot Eye Hospital,,,,C P Commerce Char Raasta Bhalej Road,C P Commerce Char Raasta Bhalej Road,Gujarat,Anand,,388001,,,,,,,,,,,,,
6214,Nina Surgical Nursing and Maternity Home,,,,"Opposite Mercantile Bank, Near Pioneer High School","Opposite Mercantile Bank, Near Pioneer High School",Gujarat,Anand,,388001,,,,,,,,,,,,,
6215,Nishant Eye Hospital and Retina Centre,,,,Opposite Old Dsp Office Dr Cook Marg,Opposite Old Dsp Office Dr Cook Marg,Gujarat,Anand,,388001,,,,,,,,,,,,,
6216,P.P.U Anand,,,,,Anand,Gujarat,Anand,,388001,,,,,,,,,,22.470375,72.9484917,,"22.47, 72.948"
6217,Palak Hospital,,,,Bhalej Road,Bhalej Road,Gujarat,Anand,,388001,,,,,,,,,,22.5662211,72.9619717,,"22.566, 72.962"
6218,Parimal Nursing Home,,,,"Near Panjab National Bank, Nayapadkar Road","Near Panjab National Bank, Nayapadkar Road",Gujarat,Anand,,388001,,,,,,,,,,,,,
6219,Parul Hospital,,,,"First Floor, Rangoli Complex, B/H. Pioneer School, Bhalej Road","First Floor, Rangoli Complex, B/H. Pioneer School, Bhalej Road",Gujarat,Anand,,388001,,,,,,,,,,,,,
6220,Prernaa Hospital,,,,"1St Floor, Commerce Centre, Gopal Talkies Crossing","1St Floor, Commerce Centre, Gopal Talkies Crossing",Gujarat,Anand,,388001,,,,,,,,,,,,,
6221,Priya Nursing Home,,,,"1St Floor,Rangoli Complex,Opposite Pioneer Shooping Centre, Bhalej Road","1St Floor,Rangoli Complex,Opposite Pioneer Shooping Centre, Bhalej Road,Anand",Gujarat,Anand,,388001,,,,,,,,,,,,,
6222,Purohit Orthopaedic Hospital,,,,Dr Cook Road,Dr Cook Road,Gujarat,Anand,,388001,,,,,,,,,,,,,
6223,Raj Nursing Home,,,,Krishna Road,Krishna Road,Gujarat,Anand,,388001,,,,,,,,,,,,,
6224,Rajal Surgical Hospital,,,,Mahavir Marg,Mahavir Marg,Gujarat,Anand,,388001,,,,,,,,,,22.5612734,72.9618316,,"22.561, 72.962"
6225,Ruchi Orthopaedic Hospital,,,,"Opp Old C K Hall, Mayfair Road, Near Union Bank, Opposite Income Tax Office","Opp Old C K Hall, Mayfair Road, Near Union Bank, Opposite Income Tax Office",Gujarat,Anand,,388001,,,,,,,,,,,,,
6226,Rutu General Hospital,,,,"Mahavir Chambers, Mahavir Marg,Off. Bhalej Road","Mahavir Chambers, Mahavir Marg,Off. Bhalej Road",Gujarat,Anand,,388001,,,,,,,,,,,,,
6227,Saarathi Medical and Diabetes Hospital,,,,"R.S. Chambers, Opposite Bhathiji Temple, Juna Rasta","R.S. Chambers, Opposite Bhathiji Temple, Juna Rasta",Gujarat,Anand,,388001,,,,,,,,,,,,,
6228,Santram Surgical And Urological Centre,,,,"1St Floor, R. S. Chambers, Opposite Bhathiji Mandir, Juna Rasta","1St Floor, R. S. Chambers, Opposite Bhathiji Mandir, Juna Rasta",Gujarat,Anand,,388001,,,,,,,,,,,,,
6229,Sarla Maternity Nursing Home,,,,"Patel Colony, Opposite Dr Rajesh Thakar, Mahavir Road, Nr Bhalej Road","Patel Colony, Opposite Dr Rajesh Thakar, Mahavir Road, Nr Bhalej Road",Gujarat,Anand,,388001,,,,,,,,,,,,,
6230,Setu Psychiatric Hospital,,,,Mayfair Orad,Mayfair Orad,Gujarat,Anand,,388001,,,,,,,,,,,,,
6231,Shishu Mangal Hospital,,,,"Opp Nagrik Bank,Borsad","Opp Nagrik Bank,Borsad",Gujarat,Anand,,388001,,,,,,,,,,,,,
6232,Shrddha Hospital,,,,"#14-A, Patel Colony,Mahavir Marg","14-A, Patel Colony,Mahavir Marg",Gujarat,Anand,,388001,,,,,,,,,,,,,
6233,Shree Rang Avadhut Lakva Kendra,,,,Near Amul Dairy,Near Amul Dairy,Gujarat,Anand,,388001,,,,,,,,,,,,,
6234,Shree Sahajanand Hospital,,,,"Maruti Complex, Opposite S T Stand, Kahmbhat","Maruti Complex, Opposite S T Stand, Kahmbhat",Gujarat,Anand,,388001,,,,,,,,,,,,,
6235,Shreeji Psychiatric Hospital,,,,"2Nd Sun House, Mayfair Road, Above Rajvi Children Hosptial, Nr Yogesh Khaman","2Nd Sun House, Mayfair Road, Above Rajvi Children Hosptial, Nr Yogesh Khaman",Gujarat,Anand,,388001,,,,,,,,,,,,,
6236,Sisodia Orthopaedic Hospital,,,,Mahavir Chowk,"Mahavir Chowk,Anand",Gujarat,Anand,,388001,,,,,,,,,,22.5645175,72.928871,,"22.565, 72.929"
6237,Smit Orthopaedic Hospital,,,,"Patel Coliny,Mahavir Rd","Patel Coliny,Mahavir Rd",Gujarat,Anand,,388001,,,,,,,,,,22.5611072,72.9600274,,"22.561, 72.96"
6238,Spandan Chest Hospital,,,,"Near Pioneer High School, Beside Markentile Bank, Vendor Crossing","Near Pioneer High School, Beside Markentile Bank, Vendor Crossing",Gujarat,Anand,,388001,,,,,,,,,,,,,
6239,Surgi Care Hospital,,,,"R & A Chambers, Laxmi Talkies Crossing, Nr. Ford Tractor","R & A Chambers, Laxmi Talkies Crossing, Nr. Ford Tractor",Gujarat,Anand,,388001,,,,,,,,,,,,,
6240,Suvidha Nursing Home,,,,"Near Pioneer High School, Maharshi Dayanand Road","Near Pioneer High School, Maharshi Dayanand Road",Gujarat,Anand,,388001,,,,,,,,,,,,,
6241,Usha Nursing Home,,,,OppositeDsp Office,OppositeDsp Office,Gujarat,Anand,,388001,,,,,,,,,,,,,
6242,Vishwas Ortho and Trama Care,,,,"Nr. Pappu Hospital, Vendor Char Rasta","Nr. Pappu Hospital, Vendor Char Rasta",Gujarat,Anand,,388001,,,,,,,,,,,,,
6243,Zakaria Sarvajanik Hospital,,,,Polson Road,Polson Road,Gujarat,Anand,,388001,,,,,,,,,,22.5621714,72.964338,,"22.562, 72.964"
6244,Zydus Hospital,,,,"Anand Lambhvel Road,Near Indra Gandhi Statue","Anand Lambhvel Road,Near Indra Gandhi Statue",Gujarat,Anand,,388001,,,,,,,,,,,,,
6245,Navjivan Hospital and Shraddha Sonography Centre,,,,"Opposite Bus Stand,Anklav","Opposite Bus Stand,Anklav,Anand",Gujarat,Anand,,388110,,,,,,,,,,22.3795396,73.0005591,,"22.38, 73.001"
6246,Aaradhana Hospital and Maternity Home,,,,"1St Floor, Shiv-Shakti Complex, OppositeVaibhav Cinema, V.V.Nagar","1St Floor, Shiv-Shakti Complex, OppositeVaibhav Cinema, V.V.Nagar, -Anand",Gujarat,Anand,,388120,,,,,,,,,,,,,
6247,Late Sarpanch V.P. Patel Memorial Hospital. Municipal Borough Hospital,,,,V.V. Nagar,",V.V. Nagar",Gujarat,Anand,,388120,,,,,,,,,,22.5476561,72.9251379,,"22.548, 72.925"
6248,Nagar Palika Hospital,,,,"Late Sarpanhc Shree Vinubhai Purshotam Das Patel Memorial Hospital, Nana Bazar, Vallabh Vidyanagar","Late Sarpanhc Shree Vinubhai Purshotam Das Patel Memorial Hospital, Nana Bazar, Vallabh Vidyanagar",Gujarat,Anand,,388120,,,,,,,,,,,,,
6249,S. G. Patel Ayurveda Hospital,,,,New V. V. Nagar,New V. V. Nagar,Gujarat,Anand,,388121,,,,,,,,,,22.5476561,72.9251379,,"22.548, 72.925"
6250,Shree Jalaram Janseva Trust.,,,,"Dharmaj, Ta. Petlad","Dharmaj, Ta. Petlad",Gujarat,Anand,,388150,,,,,,,,,,22.4836145,72.801351,,"22.484, 72.801"
6251,Jalaram Gen and Eye Hospital,,,,Vasantpura,Vasantpura,Gujarat,Anand,,388160,,,,,,,,,,,,,
6252,CHC Tarapur,,,,Tarapur,Tarapur,Gujarat,Anand,,388180,,,,,,,,,,22.4888038,72.6579865,,"22.489, 72.658"
6253,Jamna Hospial,,,,Tarapur,Tarapur,Gujarat,Anand,,388180,,,,,,,,,,22.4888038,72.6579865,,"22.489, 72.658"
6254,Mirani Maternity and Nursing Home,,,,"B/H Ashok Tailor,Nr. Gayatri Nager.Tarapur","B/H Ashok Tailor,Nr. Gayatri Nager.Tarapur",Gujarat,Anand,,388180,,,,,,,,,,,,,
